,crdc_id,year,ncessch,leaid,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
240,060003301258,2011,060003301258,0600033,1601081.0,2485742.0,54258.0,,,,12568.0,,,
241,060003304680,2011,060003304680,0600033,1342664.0,1734169.0,1342664.0,,,,0.0,,,
242,060003307695,2011,060003307695,0600033,244548.0,386028.0,244548.0,,,,15685.0,,,
243,060003312656,2011,060003312656,0600033,81232.0,81232.0,37972.0,,,,43260.0,,,
244,060003401797,2011,060003401797,0600034,1178721.0,1919924.0,1177351.0,,,,81721.0,,,
245,060003405470,2011,060003405470,0600034,4022383.0,5587605.0,3990853.0,,,,820923.0,,,
246,060003406982,2011,060003406982,0600034,2551716.0,3438635.0,2551817.0,,,,269435.0,,,
247,060003406983,2011,060003406983,0600034,2701139.0,3480795.0,2697430.0,,,,765855.0,,,
248,060003408407,2011,060003408407,0600034,1400349.0,2039626.0,1390925.0,,,,80976.0,,,
249,060003408652,2011,060003408652,0600034,248360.0,355784.0,187168.0,,,,13005.0,,,
250,060003409465,2011,060003409465,0600034,1486258.0,2069420.0,1493219.0,,,,72929.0,,,
251,060003501547,2011,060003501547,0600035,2080840.0,2618122.0,2277040.0,,,,297493.0,,,
252,060003501548,2011,060003501548,0600035,1470034.0,1845953.0,1678369.0,,,,201787.0,,,
253,060003501549,2011,060003501549,0600035,1411151.0,1765861.0,1598613.0,,,,169714.0,,,
254,060003507903,2011,060003507903,0600035,1886211.0,2599962.0,2073888.0,,,,947771.0,,,
255,060003508425,2011,060003508425,0600035,267856.0,416279.0,335311.0,,,,70175.0,,,
256,060003511532,2011,060003511532,0600035,1453440.0,1752465.0,1610832.0,,,,196785.0,,,
257,060003601095,2011,060003601095,0600036,1286461.0,1475475.0,1307046.0,,,,148176.0,,,
258,060003601108,2011,060003601108,0600036,1142346.0,1322487.0,1157715.0,,,,133719.0,,,
259,060003601114,2011,060003601114,0600036,1478556.0,1666525.0,1497380.0,,,,125934.0,,,
260,060003603755,2011,060003603755,0600036,2683641.0,3585371.0,2735068.0,,,,179487.0,,,
