,ncessch,year,leaid_x,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name,AP_oneormore_relative,crdc_id_x,teachers_fte_crdc,teachers_current_sy,security_guard_fte,salaries_teachers
88,60165000033.0,2011,601650.0,99,99,71.0,548.0,37.866819,-122.12762,1285.0,CAMPOLINDO HIGH,42.64591439688716,060165000033,61.0,0.05377906976744186,0.0007267441860465116,78085.65573770492
89,60165000035.0,2011,601650.0,99,99,47.0,419.0,37.89095,-122.055036,1482.0,LAS LOMAS HIGH,28.272604588394064,060165000035,70.0,0.05616526791478373,0.0012911555842479018,76261.4857142857
90,60165000036.0,2011,601650.0,99,99,51.0,410.0,37.841005,-122.146099,1183.0,MIRAMONTE HIGH,34.65765004226542,060165000036,59.0,0.05319148936170213,0.0007598784194528875,78105.98305084746
91,60177000041.0,2011,601770.0,99,99,0.0,621.0,37.764725,-122.24678,1853.0,ALAMEDA HIGH,33.51322180248246,060177000041,76.0,0.04842342342342342,0.0016891891891891893,59299.55263157895
92,60177000045.0,2011,601770.0,99,99,0.0,303.0,37.771566,-122.289485,1089.0,ENCINAL HIGH,27.823691460055095,060177000045,56.0,0.05041384499623777,0.0015048908954100827,53881.732142857145
93,60186000059.0,2011,601860.0,99,99,0.0,0.0,37.89549,-122.291204,1200.0,ALBANY HIGH,0.0,060186000059,57.0,0.06023029229406555,0.0008857395925597874,62678.56140350877
94,60243000134.0,2011,602430.0,99,99,70.0,338.0,33.90872,-117.479077,3300.0,LA SIERRA HIGH,10.242424242424242,060243000134,122.0,0.04071661237785016,0.0,75463.86885245901
95,60243000137.0,2011,602430.0,99,99,143.0,234.0,33.950325,-117.473204,2340.0,NORTE VISTA HIGH,10.0,060243000137,93.0,0.04057835820895522,0.0,70677.94623655915
96,60245008786.0,2011,602450.0,99,99,21.0,127.0,38.398142,-120.811787,621.0,AMADOR HIGH,20.45088566827697,060245008786,25.0,0.03729281767955801,0.0,58033.0
97,60245008787.0,2011,602450.0,99,99,16.0,126.0,38.356214,-120.792826,589.0,ARGONAUT HIGH,21.39219015280136,060245008787,25.0,0.04631578947368421,0.0,52813.56
98,60267000193.0,2011,602670.0,99,99,0.0,181.0,38.407415,-122.825352,1319.0,ANALY HIGH,13.722517058377559,060267000193,51.0,0.04978165938864629,0.0,66256.62745098039
99,60267000194.0,2011,602670.0,99,99,0.0,121.0,38.481285,-122.888707,753.0,EL MOLINO HIGH,16.06905710491368,060267000194,35.0,0.05536912751677853,0.0,64719.97142857143
100,60270000196.0,2011,602700.0,99,99,4.0,66.0,40.443167,-122.305214,625.0,ANDERSON HIGH,10.56,060270000196,28.0,0.060263653483992465,0.0018832391713747645,68702.14285714286
101,60270007642.0,2011,602700.0,99,99,18.0,58.0,40.396304,-122.403229,965.0,WEST VALLEY HIGH,6.010362694300518,060270007642,35.0,0.047244094488188976,0.0011248593925759281,65155.171428571426
102,60282000203.0,2011,602820.0,99,99,114.0,192.0,34.69919,-118.1303,1772.0,ANTELOPE VALLEY HIGH,10.835214446952596,060282000203,72.0,0.04258943781942078,0.005110732538330494,53574.40277777778
