ncessch,year,leaid,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name
60816000791.0,2011,608160.0,99,99,70.0,325.0,34.078992,-117.652782,3601.0,CHAFFEY HIGH
60816000793.0,2011,608160.0,99,99,118.0,401.0,34.073023,-117.701197,3262.0,MONTCLAIR HIGH
60816000795.0,2011,608160.0,99,99,120.0,237.0,34.039784,-117.665497,2839.0,ONTARIO HIGH
60816001122.0,2011,608160.0,99,99,148.0,399.0,34.131386,-117.546172,3245.0,RANCHO CUCAMONGA HIGH
60816008807.0,2011,608160.0,99,99,62.0,392.0,34.12973,-117.510537,3178.0,ETIWANDA HIGH
60816010605.0,2011,608160.0,99,99,229.0,617.0,34.14504,-117.555936,3250.0,LOS OSOS HIGH
60816010606.0,2011,608160.0,99,99,64.0,234.0,34.016617,-117.568308,2220.0,COLONY HIGH
60819000801.0,2011,608190.0,99,99,0.0,140.0,34.098498,-117.861373,1891.0,CHARTER OAK HIGH
60837000815.0,2011,608370.0,99,99,28.0,321.0,39.73564,-121.844946,1727.0,CHICO HIGH
60837000827.0,2011,608370.0,99,99,123.0,192.0,39.760743,-121.816332,1949.0,PLEASANT VALLEY HIGH
60837012539.0,2011,608370.0,99,99,21.0,36.0,39.735566,-121.845361,382.0,INSPIRE SCHOOL OF ARTS AND SCIENCES
60846000835.0,2011,608460.0,99,99,178.0,308.0,34.022661,-117.683005,2569.0,CHINO HIGH
60846000838.0,2011,608460.0,99,99,46.0,181.0,34.009428,-117.717581,2189.0,DON ANTONIO LUGO HIGH
60846009757.0,2011,608460.0,99,99,50.0,436.0,33.99381,-117.730416,2500.0,RUBEN S. AYALA HIGH
60846010360.0,2011,608460.0,99,99,44.0,575.0,33.960026,-117.686904,3037.0,CHINO HILLS HIGH
60855000852.0,2011,608550.0,99,99,0.0,48.0,37.114871,-120.262684,950.0,CHOWCHILLA HIGH
60876000887.0,2011,608760.0,99,99,335.0,316.0,34.112482,-117.721491,2382.0,CLAREMONT HIGH
60897000899.0,2011,608970.0,99,99,0.0,0.0,38.810721,-123.022846,427.0,CLOVERDALE HIGH
60903000367.0,2011,609030.0,99,99,129.0,401.0,36.856766,-119.714047,2514.0,BUCHANAN HIGH
60903000904.0,2011,609030.0,99,99,179.0,311.0,36.81815,-119.679399,2762.0,CLOVIS HIGH
60903000906.0,2011,609030.0,99,99,106.0,448.0,36.860976,-119.762394,2249.0,CLOVIS WEST HIGH
60903007959.0,2011,609030.0,99,99,126.0,377.0,36.797524,-119.641841,2184.0,CLOVIS EAST HIGH
60903011855.0,2011,609030.0,99,99,65.0,512.0,36.89071,-119.733503,1883.0,CLOVIS NORTH HIGH
60903012267.0,2011,609030.0,99,99,2.0,0.0,36.834709,-119.685256,-3.0,CLOVIS ONLINE CHARTER
60907000920.0,2011,609070.0,99,99,21.0,90.0,33.643732,-116.199971,2674.0,COACHELLA VALLEY HIGH
60907007685.0,2011,609070.0,99,99,4.0,27.0,33.300997,-115.956131,382.0,WEST SHORES HIGH
60907011175.0,2011,609070.0,99,99,28.0,96.0,33.570934,-116.162163,1933.0,DESERT MIRAGE HIGH
60912000933.0,2011,609120.0,99,99,0.0,82.0,36.144302,-120.362707,1105.0,COALINGA HIGH
60939000944.0,2011,609390.0,99,99,193.0,352.0,34.057974,-117.414938,2760.0,BLOOMINGTON HIGH
60939000946.0,2011,609390.0,99,99,116.0,424.0,34.069738,-117.334795,3341.0,COLTON HIGH
60957000966.0,2011,609570.0,99,99,0.0,0.0,39.200375,-122.019908,353.0,COLUSA HIGH
60962000975.0,2011,609620.0,99,99,0.0,239.0,33.914771,-118.253819,1138.0,CENTENNIAL HIGH
60962000976.0,2011,609620.0,99,99,0.0,264.0,33.890945,-118.226345,2310.0,COMPTON HIGH
60962000978.0,2011,609620.0,99,99,6.0,136.0,33.89337,-118.1818,2385.0,DOMINGUEZ HIGH
60964001010.0,2011,609640.0,99,99,0.0,0.0,34.183058,-118.919858,186.0,CONEJO VALLEY HIGH (CONTINUATION)
60964001020.0,2011,609640.0,99,99,0.0,634.0,34.184494,-118.95183,2560.0,NEWBURY PARK HIGH
60964001024.0,2011,609640.0,99,99,0.0,526.0,34.211866,-118.870315,2424.0,THOUSAND OAKS HIGH
60964001031.0,2011,609640.0,99,99,0.0,865.0,34.159201,-118.814978,2380.0,WESTLAKE HIGH
60964012664.0,2011,609640.0,99,99,6.0,6.0,34.205209,-118.861354,69.0,CENTURY ACADEMY
60969001035.0,2011,609690.0,99,99,6.0,80.0,36.097407,-119.568105,961.0,CORCORAN HIGH
60981001044.0,2011,609810.0,99,99,86.0,0.0,39.934591,-122.172864,972.0,CORNING HIGH
